candidate_after_compatibility,canonical_similarity,case_id,compatibility_reason,cosine_similarity,final_prediction,generated_id,generated_label,generated_normalized,generated_representation,operation_compatible,operation_similarity,operation_threshold,operation_threshold_pass,pair_id,reference_id,reference_label,reference_normalized,reference_representation,selection_stage,semantic_candidate,semantic_similarity,topology_evidence,unresolved_ambiguity,unresolved_candidate_pairs,unresolved_component_id,unresolved_generated_nodes,unresolved_reason,unresolved_reference_nodes
False,0.0798049122095108,1-1,operation_conflict:reception(receive)_vs_creation(create),0.0798049122095108,False,n1,create process instance,create process instance,"{""canonical_label"": ""create process instance"", ""canonical_operation"": ""create"", ""derivation_candidates"": [], ""derivation_source"": ""spacy_dependency_root:verb_lemma"", ""object_phrase"": ""process instance"", ""operation_resolved"": true, ""original_normalized_label"": ""create process instance"", ""original_root"": ""create"", ""root_lemma"": ""create"", ""root_pos"": ""VERB""}",False,0.2458476722240448,,,1-1:2120553001:n1,2120553001,receive order,receive order,"{""canonical_label"": ""receive order"", ""canonical_operation"": ""receive"", ""derivation_candidates"": [], ""derivation_source"": ""spacy_dependency_root:verb_lemma"", ""object_phrase"": ""order"", ""operation_resolved"": true, ""original_normalized_label"": ""receive order"", ""original_root"": ""receive"", ""root_lemma"": ""receive"", ""root_pos"": ""VERB""}",,False,0.0798049122095108,,False,[],,[],,[]
False,0.27374154329299927,1-1,no_declared_conflict_unclassified_operation,0.27374154329299927,False,n5,inform storehouse and engineering department,inform storehouse and engineering department,"{""canonical_label"": ""inform storehouse and engineering department"", ""canonical_operation"": ""inform"", ""derivation_candidates"": [], ""derivation_source"": ""spacy_dependency_root:verb_lemma"", ""object_phrase"": ""storehouse and engineering department"", ""operation_resolved"": true, ""original_normalized_label"": ""inform storehouse and engineering department"", ""original_root"": ""inform"", ""root_lemma"": ""inform"", ""root_pos"": ""VERB""}",True,0.33560264110565186,,,1-1:2120553001:n5,2120553001,receive order,receive order,"{""canonical_label"": ""receive order"", ""canonical_operation"": ""receive"", ""derivation_candidates"": [], ""derivation_source"": ""spacy_dependency_root:verb_lemma"", ""object_phrase"": ""order"", ""operation_resolved"": true, ""original_normalized_label"": ""receive order"", ""original_root"": ""receive"", ""root_lemma"": ""receive"", ""root_pos"": ""VERB""}",,False,0.27374154329299927,,False,[],,[],,[]
False,0.06306244432926178,1-1,no_declared_conflict_unclassified_operation,0.01770995557308197,False,n7,reserve in house parts,reserve in house parts,"{""canonical_label"": ""reserve house parts"", ""canonical_operation"": ""reserve"", ""derivation_candidates"": [], ""derivation_source"": ""spacy_imperative_surrogate:verb_lemma"", ""object_phrase"": ""house parts"", ""operation_resolved"": true, ""original_normalized_label"": ""reserve in house parts"", ""original_root"": ""reserve"", ""root_lemma"": ""reserve"", ""root_pos"": ""VERB""}",True,0.24738138914108276,,,1-1:2120553001:n7,2120553001,receive order,receive order,"{""canonical_label"": ""receive order"", ""canonical_operation"": ""receive"", ""derivation_candidates"": [], ""derivation_source"": ""spacy_dependency_root:verb_lemma"", ""object_phrase"": ""order"", ""operation_resolved"": true, ""original_normalized_label"": ""receive order"", ""original_root"": ""receive"", ""root_lemma"": ""receive"", ""root_pos"": ""VERB""}",,False,0.06306244432926178,,False,[],,[],,[]
False,0.33312779664993286,1-1,no_declared_conflict_unclassified_operation,0.33312779664993286,False,n8,back order unavailable parts,back order unavailable parts,"{""canonical_label"": ""back order unavailable parts"", ""canonical_operation"": ""back"", ""derivation_candidates"": [], ""derivation_source"": ""wordnet_verb_fallback:verb_lemma"", ""object_phrase"": ""order unavailable parts"", ""operation_resolved"": true, ""original_normalized_label"": ""back order unavailable parts"", ""original_root"": ""back"", ""root_lemma"": ""back"", ""root_pos"": ""VERB""}",True,0.33643168210983276,,,1-1:2120553001:n8,2120553001,receive order,receive order,"{""canonical_label"": ""receive order"", ""canonical_operation"": ""receive"", ""derivation_candidates"": [], ""derivation_source"": ""spacy_dependency_root:verb_lemma"", ""object_phrase"": ""order"", ""operation_resolved"": true, ""original_normalized_label"": ""receive order"", ""original_root"": ""receive"", ""root_lemma"": ""receive"", ""root_pos"": ""VERB""}",,False,0.33312779664993286,,False,[],,[],,[]
True,0.4939994215965271,1-1,no_declared_operation_conflict,0.4939994215965271,True,n9,reject order,reject order,"{""canonical_label"": ""reject order"", ""canonical_operation"": ""reject"", ""derivation_candidates"": [], ""derivation_source"": ""spacy_dependency_root:verb_lemma"", ""object_phrase"": ""order"", ""operation_resolved"": true, ""original_normalized_label"": ""reject order"", ""original_root"": ""reject"", ""root_lemma"": ""reject"", ""root_pos"": ""VERB""}",True,0.40200275182724,,,1-1:2120553001:n9,2120553001,receive order,receive order,"{""canonical_label"": ""receive order"", ""canonical_operation"": ""receive"", ""derivation_candidates"": [], ""derivation_source"": ""spacy_dependency_root:verb_lemma"", ""object_phrase"": ""order"", ""operation_resolved"": true, ""original_normalized_label"": ""receive order"", ""original_root"": ""receive"", ""root_lemma"": ""receive"", ""root_pos"": ""VERB""}",global_assignment_invariant,True,0.4939994215965271,,False,[],,[],,[]
False,0.16359460353851318,1-1,no_declared_conflict_unclassified_operation,0.16359460353851318,False,n1,create process instance,create process instance,"{""canonical_label"": ""create process instance"", ""canonical_operation"": ""create"", ""derivation_candidates"": [], ""derivation_source"": ""spacy_dependency_root:verb_lemma"", ""object_phrase"": ""process instance"", ""operation_resolved"": true, ""original_normalized_label"": ""create process instance"", ""original_root"": ""create"", ""root_lemma"": ""create"", ""root_pos"": ""VERB""}",True,0.2715761363506317,,,1-1:2120553011:n1,2120553011,inform storehouse and egineering department,inform storehouse and egineering department,"{""canonical_label"": ""inform storehouse and egineering department"", ""canonical_operation"": ""inform"", ""derivation_candidates"": [], ""derivation_source"": ""spacy_dependency_root:verb_lemma"", ""object_phrase"": ""storehouse and egineering department"", ""operation_resolved"": true, ""original_normalized_label"": ""inform storehouse and egineering department"", ""original_root"": ""inform"", ""root_lemma"": ""inform"", ""root_pos"": ""VERB""}",,False,0.16359460353851318,,False,[],,[],,[]
True,0.8157345056533813,1-1,no_declared_conflict_unclassified_operation,0.8157345056533813,True,n5,inform storehouse and engineering department,inform storehouse and engineering department,"{""canonical_label"": ""inform storehouse and engineering department"", ""canonical_operation"": ""inform"", ""derivation_candidates"": [], ""derivation_source"": ""spacy_dependency_root:verb_lemma"", ""object_phrase"": ""storehouse and engineering department"", ""operation_resolved"": true, ""original_normalized_label"": ""inform storehouse and engineering department"", ""original_root"": ""inform"", ""root_lemma"": ""inform"", ""root_pos"": ""VERB""}",True,1.0000001192092896,,,1-1:2120553011:n5,2120553011,inform storehouse and egineering department,inform storehouse and egineering department,"{""canonical_label"": ""inform storehouse and egineering department"", ""canonical_operation"": ""inform"", ""derivation_candidates"": [], ""derivation_source"": ""spacy_dependency_root:verb_lemma"", ""object_phrase"": ""storehouse and egineering department"", ""operation_resolved"": true, ""original_normalized_label"": ""inform storehouse and egineering department"", ""original_root"": ""inform"", ""root_lemma"": ""inform"", ""root_pos"": ""VERB""}",unambiguous_semantic_anchor,True,0.8157345056533813,,False,[],,[],,[]
False,0.17451182007789612,1-1,no_declared_conflict_unclassified_operation,0.16252334415912628,False,n7,reserve in house parts,reserve in house parts,"{""canonical_label"": ""reserve house parts"", ""canonical_operation"": ""reserve"", ""derivation_candidates"": [], ""derivation_source"": ""spacy_imperative_surrogate:verb_lemma"", ""object_phrase"": ""house parts"", ""operation_resolved"": true, ""original_normalized_label"": ""reserve in house parts"", ""original_root"": ""reserve"", ""root_lemma"": ""reserve"", ""root_pos"": ""VERB""}",True,0.16562095284461975,,,1-1:2120553011:n7,2120553011,inform storehouse and egineering department,inform storehouse and egineering department,"{""canonical_label"": ""inform storehouse and egineering department"", ""canonical_operation"": ""inform"", ""derivation_candidates"": [], ""derivation_source"": ""spacy_dependency_root:verb_lemma"", ""object_phrase"": ""storehouse and egineering department"", ""operation_resolved"": true, ""original_normalized_label"": ""inform storehouse and egineering department"", ""original_root"": ""inform"", ""root_lemma"": ""inform"", ""root_pos"": ""VERB""}",,False,0.17451182007789612,,False,[],,[],,[]
False,0.14437995851039886,1-1,no_declared_conflict_unclassified_operation,0.14437995851039886,False,n8,back order unavailable parts,back order unavailable parts,"{""canonical_label"": ""back order unavailable parts"", ""canonical_operation"": ""back"", ""derivation_candidates"": [], ""derivation_source"": ""wordnet_verb_fallback:verb_lemma"", ""object_phrase"": ""order unavailable parts"", ""operation_resolved"": true, ""original_normalized_label"": ""back order unavailable parts"", ""original_root"": ""back"", ""root_lemma"": ""back"", ""root_pos"": ""VERB""}",True,0.1948021501302719,,,1-1:2120553011:n8,2120553011,inform storehouse and egineering department,inform storehouse and egineering department,"{""canonical_label"": ""inform storehouse and egineering department"", ""canonical_operation"": ""inform"", ""derivation_candidates"": [], ""derivation_source"": ""spacy_dependency_root:verb_lemma"", ""object_phrase"": ""storehouse and egineering department"", ""operation_resolved"": true, ""original_normalized_label"": ""inform storehouse and egineering department"", ""original_root"": ""inform"", ""root_lemma"": ""inform"", ""root_pos"": ""VERB""}",,False,0.14437995851039886,,False,[],,[],,[]
False,0.07051151245832443,1-1,no_declared_conflict_unclassified_operation,0.07051151245832443,False,n9,reject order,reject order,"{""canonical_label"": ""reject order"", ""canonical_operation"": ""reject"", ""derivation_candidates"": [], ""derivation_source"": ""spacy_dependency_root:verb_lemma"", ""object_phrase"": ""order"", ""operation_resolved"": true, ""original_normalized_label"": ""reject order"", ""original_root"": ""reject"", ""root_lemma"": ""reject"", ""root_pos"": ""VERB""}",True,0.2228931188583374,,,1-1:2120553011:n9,2120553011,inform storehouse and egineering department,inform storehouse and egineering department,"{""canonical_label"": ""inform storehouse and egineering department"", ""canonical_operation"": ""inform"", ""derivation_candidates"": [], ""derivation_source"": ""spacy_dependency_root:verb_lemma"", ""object_phrase"": ""storehouse and egineering department"", ""operation_resolved"": true, ""original_normalized_label"": ""inform storehouse and egineering department"", ""original_root"": ""inform"", ""root_lemma"": ""inform"", ""root_pos"": ""VERB""}",,False,0.07051151245832443,,False,[],,[],,[]
