pair_id,case_id,case_name,reference_id,reference_label,reference_normalized,generated_id,generated_label,generated_normalized,annotation_category,granularity_type,used_topology,topology_basis,binary_match,operation_calibration_eligible,reviewer_notes
D001,3-2,Conduct Directions Hearing,146,head files to associate,head files to associate,n1,hand files to associate,hand files to associate,equivalent,,no,,yes,yes,Head is a source-model wording error; both activities hand the files to the Associate.
D002,3-2,Conduct Directions Hearing,148,distribute judges s lawlist,distribute judges s lawlist,n2,distribute judge s lawlist,distribute judge s lawlist,equivalent,,no,,yes,yes,Same Lawlist distribution activity; singular/plural punctuation difference only.
D003,3-2,Conduct Directions Hearing,123,initiate search,initiate search,n7,initiate search for missing files,initiate search for missing files,equivalent,,no,,yes,yes,Same search activity with an explicit missing-files object.
D004,3-2,Conduct Directions Hearing,160,track physical files,track physical files,n8,physically track files to intended location,physically track files to intended location,equivalent,,no,,yes,yes,Same physical file-tracking activity.
D005,3-2,Conduct Directions Hearing,156,conduct directions hearings,conduct directions hearings,n3,conduct directions hearings,conduct directions hearings,equivalent,,no,,yes,yes,Exact activity.
D006,3-6,Claims Notification,379,check for completeness,check for completeness,n10,check updated forms for completeness,check updated forms for completeness,equivalent,,no,,yes,yes,Same recurring completeness check; updated forms identifies the loop iteration.
D007,3-6,Claims Notification,381,register claim,register claim,n7,register claim in claims management system,register claim in claims management system,equivalent,,no,,yes,yes,Same claim-registration activity with system detail.
D008,3-6,Claims Notification,376,send relevant forms,send relevant forms,n5,send relevant forms to claimant,send relevant forms to claimant,unresolved_ambiguous,,yes,decision_position|reconvergence_position,excluded,no,Reference has one shared send after severity while generated duplicates it on the simple and complex branches; topology cannot select one occurrence uniquely.
D009,3-6,Claims Notification,376,send relevant forms,send relevant forms,n12,send relevant forms to claimant,send relevant forms to claimant,unresolved_ambiguous,,yes,decision_position|reconvergence_position,excluded,no,Reference has one shared send after severity while generated duplicates it on the simple and complex branches; topology cannot select one occurrence uniquely.
D010,3-6,Claims Notification,370,reject claim,reject claim,n13,inform claimant that the claim must be rejected,inform claimant that the claim must be rejected,different,,no,,no,yes,Rejecting the claim and notifying the claimant of rejection are adjacent but distinct operations.
D011,3-6,Claims Notification,376,send relevant forms,send relevant forms,n8,inform claimant to update the forms,inform claimant to update the forms,different,,no,,no,yes,Sending the original forms differs from requesting an update.
D012,5-4,Expense Report Process,2120553978,create expense report,create expense report,n1,submit expense report,submit expense report,different,,no,,no,yes,Creating and submitting the report are distinct lifecycle stages.
D013,5-4,Expense Report Process,2120553993,review report,review report,n10,correct report,correct report,different,,no,,no,yes,Reviewing and correcting are different operations.
D014,5-4,Expense Report Process,2120553993,review report,review report,n14,correct and edit report,correct and edit report,different,,no,,no,yes,Reviewing differs from correcting or editing.
D015,5-4,Expense Report Process,2120553991,edit report,edit report,n10,correct report,correct report,granularity_mismatch,one_reference_to_many_generated,no,,no,no,Reference uses one shared edit activity while generated splits correction by rejection cause.
D016,5-4,Expense Report Process,2120553991,edit report,edit report,n14,correct and edit report,correct and edit report,granularity_mismatch,one_reference_to_many_generated,no,,no,no,Reference uses one shared edit activity while generated splits correction by rejection cause.
D017,5-4,Expense Report Process,2120554020,process expenses,process expenses,n7,accept report for processing,accept report for processing,different,,no,,no,yes,Accepting a report for processing precedes actually processing the expenses.
D018,10-6,Dismissal,16734335,dismissal,dismissal,n1,send dismissal,send dismissal,equivalent,,no,,yes,yes,The nominal reference task represents the dismissal transmission stated in the process text.
D019,10-6,Dismissal,16734343,review,review,n2,review dismissal,review dismissal,equivalent,,no,,yes,yes,Same review activity with explicit object.
D020,10-6,Dismissal,16734348,confirmation of dismissal,confirmation of dismissal,n7,confirm dismissal,confirm dismissal,equivalent,,no,,yes,yes,Nominal confirmation and verbal confirm describe the same outcome activity.
D021,10-6,Dismissal,16734349,rejection of dismissal,rejection of dismissal,n6,reject dismissal,reject dismissal,equivalent,,no,,yes,yes,Nominal rejection and verbal reject describe the same outcome activity.
D022,10-6,Dismissal,16734348,confirmation of dismissal,confirmation of dismissal,n6,reject dismissal,reject dismissal,different,,no,,no,yes,Confirmation and rejection are opposite outcomes.
D023,10-6,Dismissal,16734349,rejection of dismissal,rejection of dismissal,n7,confirm dismissal,confirm dismissal,different,,no,,no,yes,Rejection and confirmation are opposite outcomes.
D024,10-8,Deregistration and Assignment,16734487,deregistration,deregistration,n1,mspo deregisters at go,mspo deregisters at go,equivalent,,no,,yes,yes,Nominal deregistration and verbal deregisters describe the same activity.
D025,10-8,Deregistration and Assignment,16734500,preliminary confirmation of the deregistration,preliminary confirmation of the deregistration,n11,go preliminarily confirms the deregistration of the mspo,go preliminarily confirms the deregistration of the mspo,equivalent,,no,,yes,yes,Nominal confirmation and verbal confirms describe the same preliminary confirmation.
D026,10-8,Deregistration and Assignment,16734514,assign go as msp,assign go as msp,n3,go assigns himself as msp,go assigns himself as msp,equivalent,,no,,yes,yes,Same assignment activity.
D027,10-8,Deregistration and Assignment,16734499,rejection of the deregistration,rejection of the deregistration,n10,go rejects the deregistration of the mspo,go rejects the deregistration of the mspo,equivalent,,no,,yes,yes,Nominal rejection and verbal rejects describe the same activity.
