dataset,pair_id,case_id,reference_label,generated_label,annotation_category,reference_operation,reference_operation_resolved,generated_operation,generated_operation_resolved,both_operations_resolved,reference_object,generated_object,reference_canonical_label,generated_canonical_label,original_similarity,canonical_similarity,semantic_similarity,semantic_candidate,operation_similarity,existing_compatibility
pilot,P001,6-2,Process Order,process order,equivalent,process,True,process,True,True,order,order,process order,process order,1.0,1.0,1.0,True,1.0,True
pilot,P002,6-2,Send Invoice,send invoice,equivalent,send,True,send,True,True,invoice,invoice,send invoice,send invoice,1.0,1.0,1.0,True,1.00000024,True
pilot,P003,6-2,Receive Invoice,receive invoice,equivalent,receive,True,receive,True,True,invoice,invoice,receive invoice,receive invoice,1.0,1.0,1.0,True,1.00000012,True
pilot,P004,5-2,Approve Vacation Request,approve request,equivalent,approve,True,approve,True,True,vacation request,request,approve vacation request,approve request,0.64694583,0.64694583,0.64694583,True,1.0,True
pilot,P005,3-3,Register Claim,register claim,equivalent,register,True,register,True,True,claim,claim,register claim,register claim,1.0,1.0,1.0,True,1.0,True
pilot,P006,3-3,Examine Claim,examine claim,equivalent,examine,True,examine,True,True,claim,claim,examine claim,examine claim,1.00000012,1.00000012,1.00000012,True,1.00000012,True
pilot,P007,3-3,Write Recommendation,write settlement recommendation,equivalent,write,True,write,True,True,recommendation,settlement recommendation,write recommendation,write settlement recommendation,0.45036438,0.45036438,0.45036438,True,1.00000012,True
pilot,P008,6-3,"Determine Parts, Amounts and Delivery Date",determine necessary parts and quantities,equivalent,part,True,determine,True,True,amounts and delivery date,necessary parts and quantities,part amounts and delivery date,determine necessary parts and quantities,0.57619631,0.42883265,0.57619631,True,0.28578094,True
pilot,P009,6-3,Transfer Data to PPS,enter data into PPS,equivalent,transfer,True,enter,True,True,data,data,transfer data,enter data,0.82278848,0.47719395,0.82278848,True,0.31135511,True
pilot,P010,6-3,Procure Parts,procure missing parts,equivalent,procure,True,procure,True,True,parts,missing parts,procure parts,procure missing parts,0.82412428,0.82412428,0.82412428,True,1.00000012,True
pilot,P011,9-6,Locate and Re-use Designs,locate and distribute relevant existing designs,equivalent,locate,True,locate,True,True,and use designs,and distribute relevant existing designs,locate and use designs,locate and distribute relevant existing designs,0.79949886,0.79728997,0.79949886,True,0.99999988,True
pilot,P012,9-6,Update Electrical Design,revise electrical design,equivalent,update,True,revise,True,True,electrical design,electrical design,update electrical design,revise electrical design,0.80936038,0.80936038,0.80936038,True,0.3205266,True
pilot,P013,9-6,Test Electrical Design,test revised electrical design,equivalent,test,True,test,True,True,electrical design,revised electrical design,test electrical design,test revised electrical design,0.84386027,0.84386027,0.84386027,True,1.00000012,True
pilot,P014,9-6,Update Physical Design,revise physical design,equivalent,update,True,revise,True,True,physical design,physical design,update physical design,revise physical design,0.83395916,0.83395916,0.83395916,True,0.3205266,True
pilot,P015,9-6,Test Physical Design,test revised physical design,equivalent,test,True,test,True,True,physical design,revised physical design,test physical design,test revised physical design,0.8174597,0.8174597,0.8174597,True,1.00000012,True
pilot,P016,4-1,Create patient file,create patient file for new patients,equivalent,create,True,create,True,True,patient file,patient file for new patients,create patient file,create patient file for new patients,0.94019049,0.94019049,0.94019049,True,0.99999988,True
pilot,P017,9-5,Create Account,create new account if employee does not have one,equivalent,create,True,create,True,True,account,new account,create account,create new account,0.67349786,0.90419316,0.90419316,True,0.99999988,True
pilot,P018,6-2,Send Invoice,receive invoice,different,send,True,receive,True,True,invoice,invoice,send invoice,receive invoice,0.91661161,0.91661161,0.91661161,True,0.67294419,False
pilot,P019,5-2,Approve Vacation Request,reject request,different,approve,True,reject,True,True,vacation request,request,approve vacation request,reject request,0.42260495,0.42260495,0.42260495,False,0.60821187,False
pilot,P020,3-3,Check Recommendation,revise settlement recommendation,different,check,True,revise,True,True,recommendation,settlement recommendation,check recommendation,revise settlement recommendation,0.26748532,0.26748532,0.26748532,False,0.28882408,False
pilot,P021,6-3,Transfer Data to PPS,recheck order quality,different,transfer,True,qualify,True,True,data,,transfer data,qualify,0.03146042,-0.06438293,0.03146042,False,0.17730996,True
pilot,P022,9-6,Test Complete Design,locate and distribute relevant existing designs,different,test,True,locate,True,True,complete design,and distribute relevant existing designs,test complete design,locate and distribute relevant existing designs,0.35999179,0.35999179,0.35999179,False,0.25052926,True
pilot,P023,4-1,Assign intakers,create patient file for new patients,different,intaker,True,create,True,True,,patient file for new patients,intaker,create patient file for new patients,0.08968271,0.0160173,0.08968271,False,0.11415222,True
pilot,P024,9-5,Supervisor Review,reimburse to direct deposit,different,review,True,reimburse,True,True,,direct deposit,review,reimburse direct deposit,0.1104559,0.10907535,0.1104559,False,0.20415287,True
pilot,P025,6-2,Create Order,send order to supplier,different,create,True,send,True,True,order,order to supplier,create order,send order to supplier,0.56491393,0.56491393,0.56491393,True,0.23589627,False
pilot,P026,5-2,Register Vacation Request,submit vacation request,equivalent,register,True,submit,True,True,vacation request,vacation request,register vacation request,submit vacation request,0.84047937,0.84047937,0.84047937,True,0.40680236,True
pilot,P027,3-3,Write Recommendation,revise settlement recommendation,different,write,True,revise,True,True,recommendation,settlement recommendation,write recommendation,revise settlement recommendation,0.24573563,0.24573563,0.24573563,False,0.33892679,True
pilot,P028,6-3,Produce Order,schedule production start,different,produce,True,schedule,True,True,order,production start,produce order,schedule production start,0.41228303,0.41228303,0.41228303,False,0.18184578,True
pilot,P029,6-3,Review Quality,recheck order quality,equivalent,review,True,qualify,True,True,quality,,review quality,qualify,0.48092666,-0.00475209,0.48092666,True,0.16712463,True
development,D001,3-2,head files to associate,hand files to associate,equivalent,head,True,hand,True,True,files associate,files associate,head files associate,hand files associate,0.66087925,0.58905101,0.66087925,True,0.36970255,True
development,D002,3-2,distribute judges s lawlist,distribute judge s lawlist,equivalent,judge,True,distribute,True,True,lawlist,judge s lawlist,judge lawlist,distribute judge s lawlist,0.96084213,0.81830215,0.96084213,True,0.18449301,True
development,D003,3-2,initiate search,initiate search for missing files,equivalent,initiate,True,initiate,True,True,search,search missing files,initiate search,initiate search missing files,0.54610813,0.59088767,0.59088767,True,1.0,True
development,D004,3-2,track physical files,physically track files to intended location,equivalent,track,True,track,True,True,physical files,files intended location,track physical files,track files intended location,0.78553277,0.72949874,0.78553277,True,0.99999988,True
development,D005,3-2,conduct directions hearings,conduct directions hearings,equivalent,conduct,True,conduct,True,True,directions hearings,directions hearings,conduct directions hearings,conduct directions hearings,1.00000024,1.00000024,1.00000024,True,1.00000012,True
development,D006,3-6,check for completeness,check updated forms for completeness,equivalent,check,True,update,True,True,completeness,forms completeness,check completeness,update forms completeness,0.61042166,0.42374754,0.61042166,True,0.44992587,True
development,D007,3-6,register claim,register claim in claims management system,equivalent,register,True,register,True,True,claim,claim in claims management system,register claim,register claim in claims management system,0.85331523,0.85331523,0.85331523,True,1.0,True
development,D010,3-6,reject claim,inform claimant that the claim must be rejected,different,reject,True,inform,True,True,claim,claimant,reject claim,inform claimant,0.81950128,0.55859578,0.81950128,True,0.22289312,True
development,D011,3-6,send relevant forms,inform claimant to update the forms,different,send,True,inform,True,True,relevant forms,claimant,send relevant forms,inform claimant,0.53370464,0.34918183,0.53370464,True,0.32325411,True
development,D012,5-4,create expense report,submit expense report,different,create,True,submit,True,True,expense report,expense report,create expense report,submit expense report,0.88008404,0.88008404,0.88008404,True,0.41968742,True
development,D013,5-4,review report,correct report,different,review,True,correct,True,True,report,report,review report,correct report,0.63926387,0.63926387,0.63926387,True,0.24198839,True
development,D014,5-4,review report,correct and edit report,different,review,True,correct,True,True,report,and edit report,review report,correct and edit report,0.60879791,0.60879791,0.60879791,True,0.24198839,False
development,D017,5-4,process expenses,accept report for processing,different,process,True,accept,True,True,expenses,report for processing,process expenses,accept report for processing,0.32623568,0.32623568,0.32623568,False,0.32822013,True
development,D018,10-6,dismissal,send dismissal,equivalent,dismiss,True,send,True,True,,dismissal,dismiss,send dismissal,0.85605729,0.68003786,0.85605729,True,0.23377058,True
development,D019,10-6,review,review dismissal,equivalent,review,True,review,True,True,,dismissal,review,review dismissal,0.53543103,0.53543103,0.53543103,True,0.99999982,True
development,D020,10-6,confirmation of dismissal,confirm dismissal,equivalent,confirm,True,confirm,True,True,dismissal,dismissal,confirm dismissal,confirm dismissal,0.93214804,1.0,1.0,True,0.99999988,True
development,D021,10-6,rejection of dismissal,reject dismissal,equivalent,reject,True,reject,True,True,dismissal,dismissal,reject dismissal,reject dismissal,0.91958618,1.0,1.0,True,1.0,True
development,D022,10-6,confirmation of dismissal,reject dismissal,different,confirm,True,reject,True,True,dismissal,dismissal,confirm dismissal,reject dismissal,0.75354952,0.78454417,0.78454417,True,0.37189502,True
development,D023,10-6,rejection of dismissal,confirm dismissal,different,reject,True,confirm,True,True,dismissal,dismissal,reject dismissal,confirm dismissal,0.75768566,0.78454417,0.78454417,True,0.37189502,True
development,D024,10-8,deregistration,mspo deregisters at go,equivalent,deregistration,False,deregister,True,False,,go,deregistration,deregister go,0.30087608,0.55380392,0.55380392,True,0.67330784,True
development,D025,10-8,preliminary confirmation of the deregistration,go preliminarily confirms the deregistration of the mspo,equivalent,confirm,True,confirm,True,True,the deregistration,the deregistration of the mspo,confirm the deregistration,confirm the deregistration of the mspo,0.59652448,0.61825675,0.61825675,True,0.99999988,True
development,D026,10-8,assign go as msp,go assigns himself as msp,equivalent,assign,True,assign,True,True,go msp,himself,assign go msp,assign himself,0.84071451,0.22344632,0.84071451,True,1.0,True
development,D027,10-8,rejection of the deregistration,go rejects the deregistration of the mspo,equivalent,reject,True,reject,True,True,the deregistration,the deregistration of the mspo,reject the deregistration,reject the deregistration of the mspo,0.5211339,0.66567808,0.66567808,True,1.0,True
development,D037,10-8,deregistration,go verifies deregistration,different,deregistration,False,verify,True,False,,deregistration,deregistration,verify deregistration,0.71755511,0.80915105,0.80915105,True,0.21641585,True
development,D038,10-8,preliminary confirmation of the deregistration,go rejects the deregistration of the mspo,different,confirm,True,reject,True,True,the deregistration,the deregistration of the mspo,confirm the deregistration,reject the deregistration of the mspo,0.43702668,0.57596707,0.57596707,True,0.37189502,True
development,D039,10-8,rejection of the deregistration,go preliminarily confirms the deregistration of the mspo,different,reject,True,confirm,True,True,the deregistration,the deregistration of the mspo,reject the deregistration,confirm the deregistration of the mspo,0.44000545,0.50927883,0.50927883,True,0.37189502,True
