pair_id,case_id,case_name,reference_id,reference_label,reference_normalized,generated_id,generated_label,generated_normalized,pilot_pair_group,annotation_category,granularity_type,used_topology,topology_basis,binary_match,reviewer_notes
P001,6-2,inubit help/tutorial,2120552529,Process Order,process order,n2,process order,process order,likely_equivalent,equivalent,,no,,yes,Same activity; capitalization only.
P002,6-2,inubit help/tutorial,2120552530,Send Invoice,send invoice,n3,send invoice,send invoice,likely_equivalent,equivalent,,no,,yes,Same activity; capitalization only.
P003,6-2,inubit help/tutorial,2120552527,Receive Invoice,receive invoice,n4,receive invoice,receive invoice,likely_equivalent,equivalent,,no,,yes,Same activity; capitalization only.
P004,5-2,BizAgi vacation request,2120553903,Approve Vacation Request,approve vacation request,n5,approve request,approve request,likely_equivalent,equivalent,,no,,yes,Same approval operation; 'vacation' is implied by the case context.
P005,3-3,Repetition/cycles,171,Register Claim,register claim,n1,register claim,register claim,likely_equivalent,equivalent,,no,,yes,Same activity.
P006,3-3,Repetition/cycles,174,Examine Claim,examine claim,n2,examine claim,examine claim,likely_equivalent,equivalent,,no,,yes,Same activity.
P007,3-3,Repetition/cycles,176,Write Recommendation,write recommendation,n3,write settlement recommendation,write settlement recommendation,likely_equivalent,equivalent,,no,,yes,Same recommendation-writing activity; generated label is more specific.
P008,6-3,Powerlicht production planning,26,"Determine Parts, Amounts and Delivery Date",determine parts amounts and delivery date,n1,determine necessary parts and quantities,determine necessary parts and quantities,likely_equivalent,equivalent,,no,,yes,Same parts-planning activity; generated wording omits the delivery-date detail.
P009,6-3,Powerlicht production planning,27,Transfer Data to PPS,transfer data to pps,n2,enter data into PPS,enter data into pps,likely_equivalent,equivalent,,no,,yes,Same operation: putting/transferring data into PPS.
P010,6-3,Powerlicht production planning,29,Procure Parts,procure parts,n7,procure missing parts,procure missing parts,likely_equivalent,equivalent,,no,,yes,Same procurement activity; generated label is more specific.
P011,9-6,Exercise 5 - electrical/physical design,16733702,Locate and Re-use Designs,locate and re use designs,n1,locate and distribute relevant existing designs,locate and distribute relevant existing designs,likely_equivalent,equivalent,,no,,yes,Both labels refer to the same existing-design handling step; treating the wording difference as a hard negative would be too strict.
P012,9-6,Exercise 5 - electrical/physical design,16733743,Update Electrical Design,update electrical design,n8,revise electrical design,revise electrical design,likely_equivalent,equivalent,,no,,yes,Update/revise are equivalent in this context.
P013,9-6,Exercise 5 - electrical/physical design,16733744,Test Electrical Design,test electrical design,n9,test revised electrical design,test revised electrical design,likely_equivalent,equivalent,,no,,yes,Same electrical-design testing activity.
P014,9-6,Exercise 5 - electrical/physical design,16733736,Update Physical Design,update physical design,n12,revise physical design,revise physical design,likely_equivalent,equivalent,,no,,yes,Update/revise are equivalent in this context.
P015,9-6,Exercise 5 - electrical/physical design,16733726,Test Physical Design,test physical design,n13,test revised physical design,test revised physical design,likely_equivalent,equivalent,,no,,yes,Same physical-design testing activity.
P016,4-1,Hajo Reijers intake workflow,2120552695,Create patient file,create patient file,n8,create patient file for new patients,create patient file for new patients,likely_equivalent,equivalent,,no,,yes,Same patient-file creation activity; generated label adds scope detail.
P017,9-5,Exercise 4 - expense reimbursement,16733630,Create Account,create account,n2,create new account if employee does not have one,create new account if employee does not have one,likely_equivalent,equivalent,,no,,yes,Same account-creation activity; generated label adds the condition.
P018,6-2,inubit help/tutorial,2120552530,Send Invoice,send invoice,n4,receive invoice,receive invoice,clearly_different,different,,no,,no,Opposite direction: send vs receive.
P019,5-2,BizAgi vacation request,2120553903,Approve Vacation Request,approve vacation request,n7,reject request,reject request,clearly_different,different,,no,,no,Opposite outcome: approve vs reject.
P020,3-3,Repetition/cycles,179,Check Recommendation,check recommendation,n9,revise settlement recommendation,revise settlement recommendation,clearly_different,different,,no,,no,Checking a recommendation is different from revising it.
P021,6-3,Powerlicht production planning,27,Transfer Data to PPS,transfer data to pps,n10,recheck order quality,recheck order quality,clearly_different,different,,no,,no,Data transfer and quality recheck are different operations.
P022,9-6,Exercise 5 - electrical/physical design,16733813,Test Complete Design,test complete design,n1,locate and distribute relevant existing designs,locate and distribute relevant existing designs,clearly_different,different,,no,,no,Testing the complete design is different from locating/distributing existing designs.
P023,4-1,Hajo Reijers intake workflow,2120552732,Assign intakers,assign intakers,n8,create patient file for new patients,create patient file for new patients,clearly_different,different,,no,,no,Assigning intakers is different from creating a patient file.
P024,9-5,Exercise 4 - expense reimbursement,16733644,Supervisor Review,supervisor review,n7,reimburse to direct deposit,reimburse to direct deposit,clearly_different,different,,no,,no,Supervisor review is different from reimbursement/payment.
P025,6-2,inubit help/tutorial,2120552525,Create Order,create order,n1,send order to supplier,send order to supplier,ambiguous_candidate,different,,no,,no,Creating an order and sending it to a supplier are adjacent but distinct steps.
P026,5-2,BizAgi vacation request,2120553902,Register Vacation Request,register vacation request,n1,submit vacation request,submit vacation request,ambiguous_candidate,equivalent,,no,,yes,Register/submit are treated as the same request-initiation activity in this case.
P027,3-3,Repetition/cycles,176,Write Recommendation,write recommendation,n9,revise settlement recommendation,revise settlement recommendation,ambiguous_candidate,different,,no,,no,Writing the initial recommendation and revising it are distinct steps in the repetition cycle.
P028,6-3,Powerlicht production planning,44,Produce Order,produce order,n3,schedule production start,schedule production start,ambiguous_candidate,different,,no,,no,Producing an order and scheduling production start are distinct operations.
